Date,Close,RSI,SMA_200,Signal,Signal_Name
2012-06-29,1.0367599725723267,70.25485307112584,1.0360448494553567,1,BUY
2012-07-06,1.0424000024795532,64.97719002878401,1.0368413493037223,-1,SELL
2012-07-17,1.0389000177383423,62.43894212876814,1.0378218504786492,1,BUY
2012-07-20,1.0501999855041504,60.81413513308561,1.0380443504452705,-1,SELL
2012-07-24,1.0455000400543213,55.711042506662075,1.038095850646496,1,BUY
2012-08-06,1.0563000440597534,79.59177053514227,1.0381778505444528,-1,SELL
2012-08-08,1.0506999492645264,58.09844818395128,1.0381928500533104,1,BUY
2012-08-10,1.047700047492981,49.01193034038222,1.0382143500447274,-1,SELL
2012-11-12,1.039199948310852,65.89070554209667,1.0315722012519837,1,BUY
2012-11-13,1.0422999858856201,78.2586009174312,1.0314452010393143,-1,SELL
2012-11-19,1.0357999801635742,51.74500683690988,1.0307747006416321,1,BUY
2012-11-20,1.0367000102996826,50.607259864069185,1.0306032007932664,-1,SELL
2012-11-23,1.035390019416809,57.98028117118662,1.0300806498527526,1,BUY
2012-11-26,1.038699984550476,57.309052653319384,1.029921149611473,-1,SELL
2012-12-06,1.0357999801635742,53.226886800992055,1.028735749721527,1,BUY
2012-12-07,1.0381100177764893,54.28576483806187,1.0286043000221252,-1,SELL
2013-01-01,1.0306999683380127,34.538029558065276,1.0275086987018585,1,BUY
2013-01-04,1.0325000286102295,34.322198705871074,1.0274566996097565,-1,SELL
2013-01-22,1.0434999465942383,75.86227967358639,1.0280016005039214,1,BUY
2013-01-24,1.0535900592803955,86.29969469157282,1.0282286506891252,-1,SELL
2013-01-25,1.0465999841690063,67.66868686868688,1.028319650888443,1,BUY
2013-01-28,1.0492500066757202,68.73751511774857,1.0284114009141923,-1,SELL
2013-02-19,1.042099952697754,44.893414353752675,1.0302530500292777,1,BUY
2013-02-20,1.046589970588684,52.34299173061741,1.0304794999957085,-1,SELL
2013-03-05,1.0470000505447388,62.06618860481597,1.032486850619316,1,BUY
2013-03-08,1.0569000244140625,68.35803300033871,1.0332767006754875,-1,SELL
2013-03-11,1.0500999689102173,57.15565242054665,1.0334942004084586,1,BUY
2013-03-13,1.0592000484466553,65.73176874028826,1.033940050303936,-1,SELL
2013-03-14,1.05840003490448,60.71218856489288,1.0341375502943992,1,BUY
2013-03-15,1.0609400272369385,59.0177927889145,1.0343547502160073,-1,SELL
2013-03-18,1.0595200061798096,56.73040797182423,1.034554350078106,1,BUY
2013-03-19,1.0625,63.85431687927529,1.0347783502936363,-1,SELL
2013-04-08,1.0526000261306763,33.10590063754388,1.0369033506512642,1,BUY
2013-04-11,1.069000005722046,50.0,1.0372635009884834,-1,SELL
2014-02-04,0.9717599749565125,44.98613736360262,0.9696912023425103,1,BUY
2014-02-05,0.9876000285148621,56.50781639760626,0.9694100022315979,-1,SELL
2014-02-06,0.9886999726295471,63.73502455359206,0.9691760018467903,1,BUY
2014-02-07,0.9905099868774414,66.02513223566294,0.9689480516314507,-1,SELL
2014-02-11,0.9888399839401245,62.74296172490458,0.9684795013070107,1,BUY
2014-02-13,0.9919000267982483,62.86073082658257,0.9681811508536339,-1,SELL
2014-03-04,0.9885900020599365,46.128254474788626,0.9674985006451606,1,BUY
2014-03-10,1.00409996509552,61.91380538230787,0.9675086504220962,-1,SELL
2014-03-13,0.999970018863678,50.062654837433364,0.9675829502940178,1,BUY
2014-03-20,1.0153000354766846,64.24098502272653,0.968573750257492,-1,SELL
2014-04-08,1.016800045967102,52.21248740657127,0.9719599509239196,1,BUY
2014-04-15,1.0322999954223633,64.81487613644308,0.9736019507050514,-1,SELL
2014-04-16,1.0262000560760498,54.54559528859522,0.9739094510674476,1,BUY
2014-04-17,1.031599998474121,61.538440163280725,0.9742537009716034,-1,SELL
2014-04-22,1.028499960899353,62.06562262674614,0.9754575002193451,1,BUY
2014-04-23,1.033370018005371,65.22891293055486,0.9758313503861428,-1,SELL
2014-05-08,1.0159000158309937,34.661808471063395,0.9797681000828743,1,BUY
2014-05-15,1.0201300382614136,47.433606974729116,0.9820307996869088,-1,SELL
2014-05-29,1.003159999847412,30.28496818718783,0.9853408998250961,1,BUY
2014-05-30,1.0089000463485718,31.099759123011125,0.9856429001688958,-1,SELL
2014-06-03,1.006700038909912,25.81732872082388,0.9862457007169724,1,BUY
2014-06-13,1.0230000019073486,77.56492034539838,0.9890697011351586,-1,SELL
2014-06-23,1.0090999603271484,52.616584351442675,0.9907690513134003,1,BUY
2014-06-24,1.010599970817566,49.65239703798636,0.9910129010677338,-1,SELL
2014-07-08,1.001099944114685,38.18812781338005,0.9929087010025978,1,BUY
2014-07-09,1.00409996509552,35.973015931350034,0.9930757007002831,-1,SELL
2014-07-14,1.0061999559402466,45.80790172476848,0.993560000360012,1,BUY
2014-07-16,1.0073000192642212,49.038018036843276,0.9938737004995346,-1,SELL
2014-07-22,1.005679965019226,46.04366355572372,0.9943607500195504,1,BUY
2014-07-28,1.0159200429916382,70.33479127069546,0.9948062497377396,-1,SELL
2014-08-04,1.0168999433517456,67.6312543870433,0.9952311497926712,1,BUY
2014-08-07,1.0203800201416016,73.32680100541047,0.9956154501438141,-1,SELL
2014-08-13,1.012719988822937,49.8914376502642,0.9961083498597145,1,BUY
2014-08-14,1.0154999494552612,55.21909822245174,0.9962243497371673,-1,SELL
2014-08-19,1.0148999691009521,45.11430463060326,0.9966969496011734,1,BUY
2014-08-21,1.018149971961975,55.49189972592519,0.9971031990647315,-1,SELL
2014-08-22,1.017899990081787,51.6088078827559,0.9973216989636421,1,BUY
2014-08-25,1.0199099779129028,53.33528130282172,0.9975327488780021,-1,SELL
2014-09-05,1.0160000324249268,54.437978344443266,0.9996248492598534,1,BUY
2014-09-08,1.0190999507904053,60.71441604729524,0.9998758488893509,-1,SELL
2015-08-17,0.9651200175285339,60.98989631508569,0.9626504001021385,1,BUY
2015-08-18,0.9648000001907349,59.96043129261971,0.9625709000229835,-1,SELL
2015-11-20,0.9558699727058411,77.85526338418147,0.9539056500792503,1,BUY
2015-11-23,0.9653599858283997,80.24028593898859,0.953897950053215,-1,SELL
2015-11-24,0.9603800177574158,71.4314857504233,0.9538629502058029,1,BUY
2015-11-25,0.9653199911117554,74.27421704376931,0.9538504001498223,-1,SELL
2015-12-01,0.9652600288391113,76.2605003494174,0.9535482007265091,1,BUY
2015-12-07,0.9825000166893005,77.36243447997794,0.9535749006271362,-1,SELL
2015-12-10,0.9812999963760376,71.60580104705679,0.9536883506178856,1,BUY
2015-12-11,0.9911100268363953,71.75936932108938,0.953786450624466,-1,SELL
2015-12-14,0.9840999841690063,69.37903146478217,0.9538419505953789,1,BUY
2015-12-15,0.9956499934196472,72.36392083785648,0.9539722004532813,-1,SELL
2015-12-16,0.9883700013160706,66.15880511231404,0.9540735504031181,1,BUY
2015-12-17,0.9938600063323975,73.04858701515931,0.9541999003291131,-1,SELL
2015-12-18,0.9924499988555908,71.45125536994348,0.9542742002010346,1,BUY
2015-12-23,1.0062999725341797,73.41412813181933,0.9546880999207497,-1,SELL
2015-12-24,1.0016900300979614,67.22290160046909,0.9548160499334335,1,BUY
2015-12-25,1.0052800178527832,66.75986840662738,0.9549804499745369,-1,SELL
2015-12-31,1.0101499557495117,65.95705780741253,0.9555068495869636,1,BUY
2016-01-04,1.0101100206375122,67.25546010245205,0.9558500498533249,-1,SELL
2016-01-11,0.9843199849128723,26.91852616036161,0.9567096501588821,1,BUY
2016-01-12,0.9935299754142761,37.20181168034427,0.9569438001513482,-1,SELL
2016-01-13,0.9957299828529358,43.723613794454046,0.9571469500660896,1,BUY
2016-01-15,1.0032000541687012,45.95934019083871,0.9574772503972053,-1,SELL
2016-01-28,0.9885500073432922,49.05794185329495,0.959551650583744,1,BUY
2016-02-02,0.9917500019073486,46.53191770050038,0.9601753509044647,-1,SELL
2016-02-08,0.9835799932479858,36.22413172664574,0.9607730007171631,1,BUY
2016-02-09,0.9853399991989136,30.333412241476296,0.9609607008099555,-1,SELL
2016-02-15,0.9843000173568726,43.60467664358786,0.9615362507104873,1,BUY
2016-02-16,0.9876999855041504,48.941550064904,0.9616992506384849,-1,SELL
2016-02-22,0.9846699833869934,43.17126369248352,0.9620528504252434,1,BUY
2016-02-24,0.9923999905586243,55.186958616417755,0.9622726002335549,-1,SELL
2016-03-03,0.9783300161361694,41.297835420990786,0.9625977003574371,1,BUY
2016-03-14,1.0006999969482422,55.74888109825103,0.963844750225544,-1,SELL
2016-03-17,0.989549994468689,55.786285930184,0.9645049500465394,1,BUY
2016-03-18,0.9929400086402893,69.49843262820497,0.9647077000141144,-1,SELL
2016-04-01,0.9961400032043457,43.20213397404684,0.96683100014925,1,BUY
2016-04-04,0.9994000196456909,52.267386042723786,0.9671200001239777,-1,SELL
2016-04-12,0.9801999926567078,34.27086099643499,0.9681592500209808,1,BUY
2016-04-13,0.9807900190353394,33.89912123930212,0.9683227002620697,-1,SELL
2016-04-18,0.9911800026893616,45.94378485731572,0.9689547502994538,1,BUY
2016-04-19,0.9922099709510803,44.448942193953734,0.9692038002610207,-1,SELL
2016-07-08,0.9738500118255615,74.53117612672557,0.9713420006632805,1,BUY
2016-07-13,0.9929800033569336,80.60036982781394,0.9722399508953095,-1,SELL
2016-08-04,0.9918000102043152,60.90336891490009,0.9754497501254081,1,BUY
2016-08-09,1.0076700448989868,78.58381397386289,0.9764605504274368,-1,SELL
2016-08-22,0.9805099964141846,43.83515757354904,0.9788437005877495,1,BUY
2016-08-23,0.9870499968528748,42.47342850518642,0.9790509006381035,-1,SELL
2016-08-26,0.984000027179718,29.26622849755617,0.9795613506436348,1,BUY
2016-08-30,0.986020028591156,28.984946635633833,0.9797713008522987,-1,SELL
2016-09-01,0.9851999878883362,31.865871316311086,0.9799712508916855,1,BUY
2016-09-02,0.988610029220581,45.07824148213596,0.9801171511411667,-1,SELL
2016-09-06,0.9815300107002258,38.740620186230025,0.9803123009204865,1,BUY
2016-09-09,0.988510012626648,60.893221786118936,0.9804775509238243,-1,SELL
2016-09-14,0.9826800227165222,48.271978495132025,0.9805238509178161,1,BUY
2016-09-15,0.9869700074195862,53.7604107864653,0.9805522009730339,-1,SELL
2016-09-19,0.9900299906730652,55.577127774222326,0.9805668008327484,1,BUY
2016-09-22,0.9985499978065491,62.78945277569433,0.9806248009204864,-1,SELL
2016-09-26,1.001389980316162,76.89594213895369,0.9806613507866859,1,BUY
2016-09-29,1.0048999786376953,66.91427038917007,0.9807353511452674,-1,SELL
2016-10-07,1.00177001953125,62.95234400173605,0.9806132015585899,1,BUY
2016-10-10,1.0069600343704224,63.23626335620327,0.9805974516272545,-1,SELL
2016-10-12,1.000349998474121,51.85184730952016,0.9805898514389991,1,BUY
2016-10-13,1.0025999546051025,55.23134839397527,0.9806239011883736,-1,SELL
2016-10-14,0.9985299706459045,47.12735475728922,0.9806684011220932,1,BUY
2016-10-19,1.0058399438858032,51.18802960355821,0.980829901099205,-1,SELL
2016-10-21,1.0094000101089478,55.67218461770842,0.9809564006328583,1,BUY
2016-10-27,1.0227500200271606,68.79255187377737,0.9812671008706093,-1,SELL
2016-11-01,1.0206400156021118,68.2825832896512,0.9816260504722595,1,BUY
2016-11-08,1.0318599939346313,72.1635540969757,0.9825473007559776,-1,SELL
2016-11-22,0.9891300201416016,22.995452858203407,0.9838462516665458,1,BUY
2016-11-28,1.0058000087738037,30.33508446827267,0.984157202243805,-1,SELL
2017-02-02,0.989329993724823,54.19173039336609,0.983135752081871,1,BUY
2017-02-09,1.0032000541687012,45.42572645912832,0.9842344519495964,-1,SELL
2017-02-14,0.9988300204277039,50.25699600228441,0.9849574518203735,1,BUY
2017-02-16,1.0089499950408936,72.08765396734461,0.9855279019474983,-1,SELL
2017-03-01,1.016700029373169,62.118481738702386,0.9884786030650139,1,BUY
2017-03-02,1.022439956665039,67.44694760633898,0.9889081028103829,-1,SELL
2017-03-07,1.0169800519943237,62.37875046315235,0.9900822028517723,1,BUY
2017-03-08,1.0184500217437744,59.244882901862155,0.9904448029398918,-1,SELL
2017-03-13,1.0150799751281738,58.291775979229996,0.9914356529712677,1,BUY
2017-03-16,1.024549961090088,64.49116442819215,0.9925174531340599,-1,SELL
2017-03-17,1.0216000080108643,66.13681811608296,0.992907153069973,1,BUY
2017-03-21,1.0309200286865234,65.25755420712802,0.9937556028366089,-1,SELL
2017-04-20,1.0106099843978882,39.46853204958429,0.9988982018828392,1,BUY
2017-04-24,1.0187499523162842,50.986779076451434,0.999229151904583,-1,SELL
2017-04-28,1.0175299644470215,63.099653756115345,1.0000612014532089,1,BUY
2017-05-03,1.0338200330734253,85.72850859799848,1.0006826016306878,-1,SELL
2017-05-10,1.006500005722046,46.7313748950024,1.00128700196743,1,BUY
2017-05-15,1.0140299797058105,41.563425633174695,1.0015106016397477,-1,SELL
2017-06-05,1.0026600360870361,37.336979385780396,1.0026447016000748,1,BUY
2017-06-06,1.0088000297546387,48.954503533282654,1.0027586016058923,-1,SELL
2017-06-07,1.009909987449646,49.299041559253425,1.0028856015205383,1,BUY
2017-06-08,1.0188000202178955,60.66153965866058,1.003053601682186,-1,SELL
2017-06-16,1.0055999755859375,53.41053000165353,1.0036868008971214,1,BUY
2017-06-19,1.0068800449371338,53.80262645201363,1.0037996011972428,-1,SELL
2018-01-19,0.9935299754142761,67.21217616870334,0.9904960000514984,1,BUY
2018-01-22,0.9990599751472473,73.95399992504375,0.9904454001784324,-1,SELL
2018-02-22,0.9901300072669983,56.23139877955046,0.9875538501143456,1,BUY
2018-02-23,0.9965699911117554,67.02755977689355,0.9874917003512382,-1,SELL
2018-02-26,0.9912499785423279,54.95667338819555,0.98741219997406,1,BUY
2018-03-01,0.9963700175285339,69.81128725090228,0.987229449748993,-1,SELL
2018-03-13,1.0110000371932983,64.04111083718567,0.9873294499516487,1,BUY
2018-03-15,1.0206400156021118,75.57906791728108,0.9873806002736092,-1,SELL
2018-03-26,0.9928200244903564,36.15646166105255,0.9872780504822731,1,BUY
2018-03-27,0.9953100085258484,38.2666055224601,0.9872344505786895,-1,SELL
2018-06-22,0.9825000166893005,52.319391216548965,0.9821084004640579,1,BUY
2018-06-25,0.9876099824905396,48.77258633277468,0.9821692502498627,-1,SELL
2018-12-13,0.9635300040245056,56.828904659620434,0.9632014006376266,1,BUY
2018-12-14,0.9642300009727478,56.68533875762792,0.9630005505681037,-1,SELL
2020-04-27,0.9025580286979675,82.3036591769399,0.8939993044734001,1,BUY
2020-04-30,0.9093700051307678,77.53839057219527,0.8938253045082092,-1,SELL
2020-05-04,0.9012899994850159,64.2592038462409,0.8937402993440628,1,BUY
2020-05-11,0.9101200103759766,67.26604076898798,0.8938446241617203,-1,SELL
2020-05-19,0.9093279838562012,50.148568667713484,0.894190673828125,1,BUY
2020-05-21,0.9163979887962341,65.57312940729061,0.8943446886539459,-1,SELL
